title;description;url;image
Job application form(Django);A form to create and submit job applications;https://github.com/Dishaa01423/job_application_form-django-;8.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/Dishaa01423/Restaurant_Webapp;19.png
PDF generator;A tool that allows you to dynamically create PDF documents from various data sources .;https://github.com/Dishaa01423/pdf_generator;3.png
Company-Website;A website built to visit the company's website and can apply for job role.;https://github.com/Dishaa01423/Company-Website;12.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Dishaa01423/student_database_management;17.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Dishaa01423/webcam_motion_detector;11.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/Dishaa01423/Chatbot;9.png
Weather Forecast App;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Dishaa01423/Weather_forecast_data_app;16.png
Job application form(Flask);A form to create and submit job applications;https://github.com/Dishaa01423/job_application_form-flask-;8.png
Invoice generation;This is a project of an app that creates PDF invoices out of Excel files.;https://github.com/Dishaa01423/Company-Website;20.png
News Updates;Send emails of the updated news by fetching information from news APIs;https://github.com/Dishaa01423/News-Update;6.png
Hotel Booking app;The app allows users to search for hotels and book a room and spa;https://github.com/Dishaa01423/Hotel_booking_app;20.png
